WLK_COURS_FLAG_NM,WLK_COURS_NM,COURS_DC,SIGNGU_NM,COURS_LEVEL_NM,COURS_LT_CN,COURS_DETAIL_LT_CN,ADIT_DC,COURS_TIME_CN,OPTN_DC,TOILET_DC,CVNTL_NM,LNM_ADDR,COURS_SPOT_LA,COURS_SPOT_LO
중랑천 제방 장미 벚꽃길,중랑천제방장미벚꽃길,사각문~묵동수림공원~수림대장미원,서울 중랑구,쉬움,5~10Km미만,5.67,"중랑천 제방 산책로에 조성한 장미아치가 인상적이다. 제방 산책로에 4,690여 그루의 덩굴성 사계장미를 아치형 지주대에 붙여 만든 장미아치는 보는 이로 하여금 감탄을 자아내게 한다. 5월 말부터 10월까지 5~6회 꽃을 피우는데 종류별로 다양한 장미꽃을 감상할 수 있다.",2시간,,,,서울 중랑구 중화동,37.5946833,127.0711056
중랑캠핑숲 나들길,중랑캠핑숲 나들길,중랑캠핑숲입구~망우산공원입구~나들이공원,서울 중랑구,보통,1~5Km미만,3.73,"개발제한구역 내 비닐하우스 등으로 훼손된 곳을 복원하여 학생소풍 및 가족단위 피크닉을 주제로 한 체험공원입니다. 인위적 시설을 최소화하였으며, 건강한 숲을 주제로 한 생태학습 공원입니다. 또한 소규모 야외무대 설치 등 청소년 중심의 문화중심 공원으로 조성되었다.",2시간,,중랑캠핑숲,양원역 부근,서울 중랑구 망우동,37.6008882,127.1138491
배봉산 답십리 나들길,배봉산 답십리 나들길,배봉산 출입구~답십리 근린공원~배봉산근린공원 진입,서울 동대문구,보통,1Km미만,3.39,"동대문구에서 조성한 녹지순환산책로를 접근이 용이하도록 재구성한 코스이다. 따라서 배봉산근린공원이 그 중심을 이룬다. 배봉산근린공원은 산이 부족한 동대문구의 보조 산소통이다. 배봉산은 동대문구 전농동에 있는 표고 110m의 산이다. 배봉산이라는 이름은 조선조 영조때 사도세자가 당쟁에 의해 죽은 뒤 이곳에 장례를 지냈는데, 사도세자의 아들인 정조가 평생에 못다한 불효를 속죄한다며 날마다 부친의 묘소를 향해 배례를 하면서 산이름이 배봉산(拜峰山)으로 불려졌다. 서울시립대학교가 위치해 있으며, 조선시대 영우원과 휘경원 등 왕실 묘원이 마련되어 있었으며, 목마장의 울타리가 지났던 곳이다.",2시간,사전 준비 필요,삼육의료원 부근,코스 내 없음,서울 동대문구 휘경동,37.5857669,127.0651916
홍릉수목원길,홍릉수목원길,홍릉수목원 입구~조경인의 숲,서울 동대문구,쉬움,1~5Km미만,1.83,"안암동 고려대학교에서 회기동 경희대학교로 넘어가는 도로변에 위치한 국립산림과학원. 그 안에 살아 숨 쉬는 홍릉수목원은 우리나라 최초의 수목원으로 44만㎡ 면적에 수많은 국내식물이 식재되어 있다. 형형색색의 기화요초는 거대한 정원을 연상하게 만들고 아름드리나무들 사이로 조성된 2㎞ 산책로는 ‘도심 속 오아시스’를 느끼게 한다. 단, 홍릉수목원은 식물 연구 중심의 수목원이라 평일에는 일반인에게 개방되지 않으므로 주말을 이용해야 한다.(무료개방) ※ 관람시간 : 겨울철(11~2월) 10:00~16:00, 여름철(3~10월) 10:00~17:00",1시간,"사전 준비 필요, 산림과학관 내 식수대",곳곳에 다수,매점 없음. 음료자판기는 있음,서울특별시 동대문구 청량리동 회기로 57,37.5937452,127.043973
서울숲남산 나들길,서울숲남산 나들길,용비교~응봉공원~독서당공원~금호산~매봉산~서울한양도성길,서울 중구,보통,5~10Km미만,8.82,"서울숲에서 시작하여 응봉공원, 금호산, 매봉산을 거쳐 남산에 이르는 코스이다. 2010년 성동구에서 조성한 산책로로서 곳곳에 안내판이 설치되어 있어 헤메지 않고 쉽게 찾아갈 수 있다. 서울숲은 115만㎡에 5개의 테마공원과 다양한 볼거리를 갖추고 내방객을 기다린다. 응봉공원 전망대에서는 서울숲과 함께 한강 일대가 조망되어 야경 촬영지로도 명성이 높다.",2시간30분,사전 준비하거나 매점에서 구입,"서울숲, 응봉공원, 독서당공원",시내 구간에 다수,서울 성동구 금호동2가,37.555593,127.017311
서울숲공원 산책길,서울숲공원 산책길,숲속길~뚝섬가족마당~거울연못~바람의 언덕,서울 성동구,보통,1~5Km미만,3.48,"서울숲은 이전의 뚝섬유원지 자리에 위치한 공원으로 5개의 테마공원인 문화예술공원, 생태숲, 체험학습원, 습지생태원, 한강수변공원을 갖추고 있다. 넓은 대지에 산책길과 자전거길이 잘 조성되어 있고 벤치, 테이블 등의 휴게공간, 편의시설이 잘 갖추어져 있다. 또한 사슴과 고라니와 같은 야생동물도 만날 수 있어 아이들의 체험학습 공간으로도 좋다. 서울숲은 서울 도심에 위치해 있지만 숲에 온 듯한 느낌을 받을 수 있는 공간으로 서울을 벗어나지 않고 자연을 느낄 수 있다.",2시간,사전 준비 필요,곳곳에 다수,북서쪽 쉼터,서울 성동구 성수동1가,37.54514,127.0387452
성동 송정둑길,성동 송정둑길,아차산역~어린이대공원~송정동 둑길~살곶이다리~응봉역,서울 광진구,쉬움,5~10Km미만,8.7,무료로 개방되는 어린이대공원을 후문으로 들어가 한 바퀴 돈 후 정문으로 나가게 된다. 이름 그대로 아이들과 함께 가도 아주 좋을만한 코스이다. 이후 군자교 부근에서 시작되는 송정동 둑길을 지난다. 옆으로 동부간선도로를 달리는 자동차 소리가 들리기는 하지만 높이 솟은 가로수들이 시원한 그늘을 드리우고 있어 한여름에도 걷기가 나쁘지 않다. 또한 중반 무렵 화장실 왼쪽으로 시작되는 은행나무길은 울창한 숲 속에 들어와 있는 착각마저 불러일으킨다. 이후 조선시대에 가장 긴 다리였다는 살곶이다리를 건너 중랑천길을 잠시 걸어 응봉역으로 진입한다.,2시간30분,사전준비 필요,송정동 둑길 은행나무길 입구,군자역 부근에 있음,서울 성동구 송정동,37.5497994,127.0646533
아차산숲 나들길,아차산숲 나들길,만남의 광장~소나무림~아차산성~아차산성 유원지~오동나무 자생지,서울 광진구,보통,1~5Km미만,2.78,서울 한강 북쪽의 아차산은 아끼산 아계산으로도 불린다. 고구려 장군 온달이 신라군과 싸우다 전사했다는 이야기도 전해 내려오며 능선에서는 한강 유역을 한 눈에 내려다 볼 수 있어 예전부터 군사적 요충지로 손꼽힌다.,2시간,아차산입구,"아차산생태공원, 아차산입구",역 주변 매점,서울 광진구 구의동,37.5550446,127.1032633
어린이대공원 산책길,어린이대공원 산책길,모험의 나라 놀이터~음악분수~전래동화마을~물놀이장,서울 광진구,쉬움,1~5Km미만,3.11,"어린이대공원 산책길은 약 53만여 ㎡의 넓은 공간에 푸른 숲과 파란 잔디의 녹지공간으로 이루어져 있다. 동물원, 식물원, 놀이동산 및 다양한 공연 시설과 체험 공간이 가득한 어린이 대공원은 2006년 가을부터 무료 개방되어 인근대학의 학생들과 직장인들, 지역주민들이 즐겨 찾는 공원이 되었다. `Free course` 로 자유롭게 다닐 수 있도록 산책로가 조성되어 있다.",2시간,사전 준비 하거나 매점에서 구입,곳곳에 다수,곳곳에 다수,서울 광진구 능동,37.5505399,127.0796009
남산순환나들길,남산순환나들길,남산도서관앞~N서울타워~남산공원~와룡묘,서울 용산구,보통,1~5Km미만,9.17,그 옛날 이 정도 석성을 쌓으려면 도대체 얼마나 많은 인력과 시간이 필요했을까? 하는 의문을 품게 만드는 성곽길로 코스를 시작한다. 서울성곽에 나 있는 길 중에서도 가장 걷기 편한 구간이 바로 이 길의 시작이다. 이후 걷게 되는 남산북측순환산책로는 남산 산책로 중의 으뜸이라 중언부언할 필요가 없을 정도이다. 좋은 길만 엮어 놓았으니 기분 좋게 발걸음 떼는 일만 남았다.,3시간,사전 준비 필요,곳곳에 다수,N타워 부근에 있음,서울 중구 예장동,37.55434,126.9939838
남산야외식물원 산책길,남산야외식물원 산책길,라틴아메리카 공원~야생화 공원~ 팔도소나무 단지,서울 용산구,쉬움,1~5Km미만,1.93,"남산식물원은 서울시 중구 남산에 있던 식물원으로 1968년 개원하여 2006년까지 운영되었다. 2009년부터 노후화된 시설을 철거하고 실개천, 휴게공간 조성 및 녹지공간 복원 등을하여 2010년말 새롭게 개장했다. 숲길이 잘 정비되어 있고 다양한 식물들이 풍성해 보행자들에게 산책의 묘미를 느끼게 해주는 코스이다.",1시간,사전 준비 필요,식물원 내,한강진역 부근,서울 용산구 이태원동,37.5419568,126.9974518
덕수궁 산책길,덕수궁 산책길,서울 역사 박물관- 경희궁 - 정동공원 -덕수궁 돌담길~대한문~경운궁 양이재~서울역사 박물관,서울 중구,쉬움,5~10Km미만,6.02,"옛 정취가 그대로 살아있는 높다란 돌담길을 걷다 정동극장, 구러시아공사관, 서울의 역사가 고스란히 담긴 서울 역사박물관 등을 거치며 다양한 볼거리와 배울거리를 만나는 서울 도심의 보석 같은 코스",2시간,사전 준비하거나 매점에서 구입,"덕수궁, 경희궁, 서울역사박물관",곳곳에 다수,서울 중구 정동,37.5676607,126.9716839
용산가족공원 산책길,용산가족공원 산책길,이촌역~국립중앙박물관~거울못~용산가족공원~보신각종~ 이촌역,서울 용산구,매우쉬움,1Km미만,3.3,"한국 최대 박물관인 국립중앙박물관을 거쳐 도심 속의 녹색쉼터 용산가족공원을 탐방하는 코스이다. 국립중앙박물관은 우리 역사와 문화의 중요한 가치를 배우고 즐겁게 체험할 수 있다. 이곳에는 구석기시대의 소박한 손도끼에서부터 삼국시대의 화려한 금관, 고려시대의 청자, 조선시대의 회화, 근대의 사진들에 이르기까지 우리의 역사와 문화예술이 한데 모여 있다. 이곳에서 우리 문화의 정수를 마음껏 즐기다보면 자연스럽게 우리문화에 대한 자부심을 느낄 수 있다. 박물관 외부에는 야외정원을 따라 석탑, 석등, 석비 등의 다양한 석조 미술품들을 만나볼 수 있지만 아직까지 박물관의 숨겨진 장소라 할 만큼 많이 알려지지 않은 곳이다. 야외전시장을 따라 용산가족공원이 이어진다. 국립중앙박물관 건립에 따라 지금의 크기는 많이 줄었지만 여전히 찾는 이들이 많은 도심의 녹색쉼터이다.",1시간,사전 준비하거나 매점에서 구입,"국립중앙박물관, 용산가족공원, 이촌역",박물과 야외 편의점,서울 용산구 용산동6가,37.5245448,126.9843659
전쟁기념관 산책길,전쟁기념관 산책길,삼각지역~옥외전시장~전사자영비~ 삼각지역,서울 용산구,쉬움,1~5Km미만,1.6,"호국 자료의 수집·보존·전시, 전쟁의 교훈과 호국정신 배양, 선열들의 호국 위훈 추모를 목적으로 1990년 9월 착공해 1993년 12월 완공하고, 1994년 6월 10일 개관한 기념관이다. 연건평 2만 5천 평에 지하 2층, 지상 4층 규모이며, 호국추모실·전쟁역사실·한국전쟁실·해외파병실·국군발전실·대형장비실 등 6개 전시실로 구분되어 있는 전쟁기념관과 옥외에 조성된 공원을 둘러보며 역사를 되새길 수 있는 코스이다.",40분,,,,서울 용산구 용산동1가,37.5371791,126.9760357
한남매봉공원 산책길,한남매봉공원 산책길,(구)단국대학교~매봉산공원~힐사이드아파트~남산공원길,서울 용산구,보통,1~5Km미만,1.81,도심 속 작은 숲 속으로 인근 주민들이 산책을 즐기며 남산과도 이어진다.,1시간,,,,서울 용산구 한남동,37.5424539,127.0072826
강서둘레길,01코스 개화산숲길,방화근린공원~개화산 약사사~정상 전망대~호국충혼비~풍산심씨사당~방화근린공원(3.35Km),서울 강서구,보통,1~5Km미만,3.35,"2012년 1월1일부터 개방된 강서둘레길 1단계구간(3.35km)은 고유한 생태 및 역사문화, 경관자원 등 다양한 볼거리를 제공하기 위해 방화근린공원을 시작으로 개화산 약사사와 전망대, 정상을 지나 호국충혼비, 풍산심씨사당, 방화근린공원으로 이어지는 순환형 코스로 약 1시간 10분 가량 소요된다. 2011년 서울시 걷고싶은 길로 선정됨.",1시간 10분,방화근린공원 음수대,"방화근린공원 입구, 약사사",없음,서울 강서구 개화동,37.5814383,126.8042055
강서둘레길,02코스 공원길,방화근린공원~꿩고개체력단련장~치현정~치현산 정상~치현둘레 소공원~서남환경공원 메타세콰이어 숲길(3.53km),서울 강서구,보통,1~5Km미만,3.53,"2012년 8월부터 개방한 강서둘레길 2단계 구간은 1단계 개화산 구간 조성에 이어 2단계 구간인 꿩고개근린공원(치현산), 서남환경공원 일대에 누구나 찾아와 편하게 산책할 수 있는 코스로 조성되었다.",1시간 20분,"방화근린공원, 꿩고개약수터","방화근린공원, 서남환경공원",없음,서울 강서구 개화동,37.5814383,126.8042055
강서둘레길,03코스 강서 한강길,방화역~치현산~개화전망대~봉화정~행주대교 남단~서남환경공원~강서습지생태공원~조류전망대~방화대교 남단~방화역,서울 강서구,보통,1~5Km미만,4.56,"1,2단계 구간 개화산, 꿩고개근린공원(치현산), 서남환경공원에 이어 둘레길의 마지막 조성구간으로 강서구의 고유한 생태 및 역사문화, 경관자원 등 다양한 볼거리를 제공하는 코스이며 숲,공원,한강을 모두 체험할 수 있는 특화된 구간이다.",1시간 30분,사전 준비 필요,서남환경공원,강서습지생태공원,서울 강서구 개화동,37.5814383,126.8042055
내곡둘레길,내곡둘레길,염곡마을~(1.5km)안골마을~(2km)샘마을~ (1.5km)신흥마을~ (2km)능안마을~(2.5km)능인산(홍씨마을)~(2km)여의천,서울 서초구,보통,10~15Km미만,11.89,"내곡동은 마을마다 특색있는 이름을 가진 13개 자연부락으로 이뤄진 인심 좋은 전원마을있는 곳이다. 구룡산과 대모산, 인능산 산책로와 내곡동 주민들이 이용하는 자연 그대로의 숲길을 연결하여 걷고 싶은 내곡 둘레길을 조성하고 있다. 또, 둘레길 주변에는 화훼단지, 농장등이 있어 둘러볼 수 있는 내곡동만의 특색이 있는 둘레길이다.",3시간,"내곡동주민센터, 능안마을약수터",내곡동주민센터,"출발점인 염곡마을 편의점, 신흥마을 마을수퍼, 청룡마을 청계산 입구에 있음.",서울 서초구 내곡동,37.4527327,127.0759529
당현천길,당현천길,상계역 - 불암교 - 새싹교 - 염광교 - 물넘이교 - 당현2교 - 당현3교 - 소각장,서울 노원구,매우쉬움,5~10Km미만,5.1,"당현천은 중랑천의 제1지류로 수락산에서 발원하여 남서쪽으로 뻗어 흐르는 하천이다. 과거에는 이 물줄기를 ‘마전내’라고 불렀고 유로연장 6.1km, 평균 하천의 폭이 44m이다. 우이천 다음으로 규모가 큰 하천이다. 2013년 5월에는 당현천 제2통수식을 가졌다. 이 하천을 정비하여 아름다운 벽화, 물넘이교다리, 정자, 각종 조각상을 설치하고 수중 연못을 만들어 정비하여 주민들이 대표적으로 사랑하는 친환경 시설이 되었다.",1시간,없음,소각장 근처,"산책로에는 매점이 없고 상계역, 중계역 등 인근에 상가가 있다.",서울 노원구 중계동,37.6493724,127.0662353
마포난지생명길,02코스,"합정역→망원정지→양화진나루터→절두산순교성지→당인리발전소(9Km, 소요시간 - 3시간)→밤섬→삼개포구→토정이지함생가터→마포종점→마포음식문화거리→마포역(1.5km)",서울 마포구,쉬움,1~5Km미만,9.0,한강 연안에 위치한 마포는 옛날 수상교통의 요충지로 삼남지방에서 올라오는 곡물을 저장하는 수많은 창고가 있었고 일찍부터 발달된 어촌이 형성되었으며 우리말(三浦-3개의 포구)라고 불렀던 포구 이름을 한자명으로 옮겨 적어 ‘마포’라는 마을 이름이 유래된 것처럼 마포라하면 한강을 빼놓을 수 없듯이 한강과 더불어 함께한 마포의 역사와 문화를 한강변을 따라 거닐어 보며 매력을 느낄 수 있는 길이다.,3시간,곳곳에 마트와 매점이 있음,한강시민공원,곳곳에 마트와 매점이 있음,서울 마포구 상암동,37.5755494,126.8693946
마포난지생명길,01코스,월드컵경기장역→월드컵공원전시관→평화의공원→서울에너지드림센터→하늘공원→자원순환테마전시관→난지미술창작스튜디오→노을공원→ 난지천공원→매봉산→월드컵경기장역,서울 마포구,보통,15~20Km미만,14.4,서울의 쓰레기 매립지였던 난지도가 생태공원으로 탈바꿈한 이야기와 친환경대체에너지에 대해 체험할 수 있는 코스이다. 월드컵공원 전시관에서는 원하는 방문객들에게 난지도에서 생태공원으로 탈바꿈한 과정을 설명하고 있으며 예전 쓰레기 침출수처리장 건물을 리모델링하여 만든 난지 미술창작스튜디오와 야외 조각상을 감상할 수 있다. 또한 자원순환테마전시관과 에너지드림센터에서 친환경 에너지에 대해 체험할 수 있다. 마포 생태에너지길은 서울 한복판속에서 편안하게 재충전할 수 있고 자연과 환경의 중요함을 느낄 수 있는 탐방길이다.,4시간,곳곳에 공원매점이 있음,"월드컵공원전시관, 에너지드림센터,자원순환테마전시관,노을공원화장실 등 이용",곳곳에 공원매점이 있음,서울 마포구 상암동,37.5755494,126.8693946
서울둘레길,05코스 관악산코스,사당역~관음사~낙성대~ 서울대입구~삼성산성지~호압사~석수역,서울 금천구,어려움,10~15Km미만,12.7,"관악, 삼성산코스는 사당역에서 출발해 관악산, 삼성산을 거쳐 석수역에 도착하는 코스이다. 관악산과 높은 고도로 등반을 위한 산행이 대부분이지만 본 코스는 관악산의 둘레길을 따라서 걷는 코스로 자연경관이 매우 훌륭하고 곳곳의 역사문화유적이 다양하게 분포하고 있어 볼거리 또한 매우 풍부하다. 대부분의 구간이 숲길로 비교적 난이도가 있는 코스지만 서울의 산림자연환경을 느낄 수 있는 최적의 코스이기도 하다.",5시간 50분,"호천약수터, 불로천약수터, 남서울약수터",호압사,도착지점 안양시계 주변,경기 과천시 막계동,37.4318137,127.0080989
서울둘레길,06코스 안양천코스,석수역~안양천~한강~가양역,서울 금천구,쉬움,15~20Km미만,18.0,"안양천코스는 석수역에서 출발해 안양천, 한강을 따라 걸어 가양역에 도착하는 코스이다. 본 코스는 다소 길지만 지하철역이 곳곳에 위치하고 있어 대중교통의 접근이 편리하고, 전 구간이 평탄한 지형으로 수월한 트레킹이 가능하다. 서울의 하천과 한강을 만끽 할 수 있어 숲길이 대부분인 다른 코스와 차별화가 된다. 곳곳에 운동시설, 산책로, 편의시설, 휴게시설 등이 다수 위치하고 있다.",4시간 30분,수도10개,공중화장실 5개,"석수역, 금천구청역, 독산역내",경기 과천시 막계동,37.4318137,127.0080989
서울둘레길,01코스 수락·불암산코스,도봉산역~서울창포원~덕릉고개~넓은마당~경수사~성관사~넓적바위~학도암~태릉~화랑대역,서울 노원구,어려움,15~20Km미만,14.3,"서울의 외사산의 1코스로서 서울의 대표적인 수락산과 불암산을 통과하는 노선이다. 숙련된 트래킹 기술 없이도 통과할 수 있도록 불암산을 둘러 통과하는 노선으로 대체적으로 완만하다. 이 코스는 수락산과 함께 연계되어 태릉까지 이어지며 노선주변으로 당고개역, 상계역, 화랑대역등이 인접한다.",6시간 30분,인근에 약수터가 별로 없다.,아직까지 화장실은 많지 않아 역에서 볼일을 보고 가는 편이 좋다.,매점이 없어 출발지에서 먹거리와 물을 준비해 가야한다.,경기 과천시 막계동,37.4318137,127.0080989
불암산 하루길,불암산 둘레길,넓은마당 ~(2km)넓적바위 ~ (1.2km)104마을 갈림길 ~ (1.8km)공릉산 백세문 ~ (3.2km)삼육대정문 ~ (2km)삼육대갈림길,서울 노원구,보통,10~15Km미만,11.0,"불암산 둘레길은 덕릉고개 부분만 제외하고는 남녀노소 누구를 막론하고 편안히 걷기에는 최적의 장소이다. 부부, 자녀, 연인의 데이트 코스로도 적극 추천하는 최적의 코스다. 넓적바위 옆에 위치한 학도암과 바위 전면에 새겨진 관음보살도 구경하고 특별히 삼육대 갈림길 코스에 있는 중계동 백사마을로 연결해서 걸으면 앞으로 재개발로 사라지게될 1960년대 서민들이 살았던 이 시대의 마지막 달동네 백사마을을 보는 것을 덤으로 얻을 수 있다. 또한 곳곳에 다양한바위(음바위, 좆바위 등)가 숨겨져 있어 이를 살펴보는 재미도 쏠쏠하다.",4시간,"당고개역, 공릉사백세문에서 삼육대정문 가는 코스에 서울여대지나서 음식점도 있고, 매점도 많다.","당고개역, 넓은마당, 경수사, 104마을갈림길 가는 길에 있는 간이 화장실, 공릉백세문 가는길에 간이화장실",경수사,서울 노원구 공릉동 산 222-1,37.6420864,127.0915048
신반포올레길,신반포 올레길,총 3km (신잠원나들목 -(1.15km) 신반포5차 오솔길 - (1.50km)반포나들목 -(2.1km) 반포한강공원 축구장 - 신잠원나들목(3km),서울 서초구,매우쉬움,1Km미만,3.0,잠원나들목을 시작으로 오솔길을 따라 걷다보면 조용히 사색을 하며 걸을 수 있는 메타세콰이어 숲길(신반포아파트 오솔길)이 나온다. 일상의 스트레스를 벗고 숲속의 청량한 공기가 몸과 마음의 휴식을 느끼게 해 준다. 그렇게 숲의 상쾌함을 느끼다보면 어느새 한강으로 이어지는 반포나들목을 만나게 된다. 반포나들목에 들어서면 한강의 시원한 강바람이 먼저 반겨준다. 한강둔치를 걸으며 보이는 한강의 풍경은 잠시 현실의 짐을 내려놓게 한다. 한강을 따라 다시 처음 출발지인 잠원나들목에 도착하면 내 몸이 힐링되어짐을 느낄 수 있다. 신반포 올레길은 아파트단지에서 보기드문 숲의 피톤치드와 한강의 강바람을 함께 느낄 수 있는 도시 힐링로드(healing rod)로 주민의 건강뿐 아니라 휴식의 공간으로 자리잡고 있다.,60분,반포한강공원 편의점 앞,반포한강공원 편의점 앞,반포한강공원 내 편의점 1곳,서울 서초구 잠원동,37.5121264,127.0016423
양재천 산책길,양재천 산책길,양재시민의숲~(0.4km)양재천교~(0.5km)무지개다리~(0.6km)양재천교~(0.7km)영동1교~(0.8km)영동2교~(1km)양재시민의숲,서울 서초구,매우쉬움,1Km미만,4.0,다양한 종류의 수목이 우거진 양재시민의 숲을 지나 양재천을 따라 산책길이 이어진다. 여러 종의 어류가 서식하고 있는 생태하천의 여러 생물들을 찾아보는 재미가 있다. 자전거길도 함께 조성되어 있어 자전거를 타보며 달려보는 재미도 있다.,60분,양재시민의 숲,"양재시민의 숲, 근린 공원",양재천 주위의 편의점,서울 서초구 양재동,37.4736085,127.0352218
토성산성어울길,01코스 몽촌토성길,몽촌토성역~소마미술관~한성백제박물관~몽촌토성~몽촌역사관~성내천~방이습지~마천중앙시장~ 마천역,서울 송파구,매우쉬움,5~10Km미만,7.6,"‘토성산성어울길’이란 몽촌토성역에서 시작하여 올림픽공원, 성내천, 마천전통시장을 거쳐 남한산성을 오르는 19.6km의 길이다. 몽촌토성에서 남한산성까지 이어진다 하여 ‘토성산성어울길’이란 정겨운 명칭을 얻었으며, 문화체육관광부 발간 ‘지금 이 길의 아름다움’이란 책자에 소개될 정도로 코스 요소요소에 역사와 문화, 자연과 생태, 전통시장 등 다양하고 매력적인 볼거리를 자랑한다. 역사ㆍ문화자원으로는 한성백제의 고대유산인 몽촌토성과 토성 위에 자리잡은 몽촌역사관, 지난 4월에 개관한 한성백제박물관, 남한산성, 그리고 88올림픽의 열정이 살아있는 올림픽공원, 소마미술관 등이 있다. 자연ㆍ생태 자원으로는 한국의 아름다운 100대 하천으로 선정된 성내천, 자연생태경관지역으로 지정된 방이습지, 그리고 수려한 경관을 자랑하는 남한산이 있으며 이외에도 탐방객들을 유혹하는 전통먹거리가 가득한 마천전통시장이 자리하고 있다.",2시간 30분,"코스 곳곳에 편의점이 있으며, 마천중앙시장이 코스에 포함","올림픽공원내 화장실, 성내천 간이화장실, 마천역화장실 등","코스 곳곳에 매점이 있으며, 마천중앙시장이 코스에 포함",경기 광주시 남한산성면 산성리 산 13,37.4808953,127.1860031
허밍웨이길,허밍웨이길,동작역 1번출구~(0.5km)이수교~(0.6km)심산기념관~(0.9km)고속버스터미널 5번출구,서울 서초구,매우쉬움,1Km미만,2.0,"반포천과 나란히 이어지는 허밍웨이길은 코노래가 나오는 쾌적한 길이라는 뜻을 갖고 있으며, 산책로 양쪽이 나무로 둘러싸여 있어 도심속에서도 숲 속을 걷는 듯한 느낌을 준다. 2010년 서울시 여성행복 프로젝트 사업의 일환으로 여성이 행복한 길로 인증받았다.",30분,"반보본동주민센터, 심산기념관 내","반보본동주민센터, 심산기념관 내 화장실 이용",9호선 구반포역 인근에 편의점 및 식당 이용 가능,서울 서초구 반포동,37.4998075,126.9910117
강동그린웨이 걷기대회 코스,강동그린웨이 걷기대회 코스,일자산 잔디광장 ~ 일자산 해맞이광장 ~ 가족캠핑장 ~ 허브천문공원 ~ 피크닉장 ~ 일자산 잔디광장,서울 강동구,보통,1~5Km미만,3.78,"강동그린웨이 총 25km 구간 중 해당 구간은 강동그린웨이 걷기대회 코스로 일자산 잔디광장을 출발해서 해맞이 광장과 가족캠핑장을 지나 허브천문공원과 피크닉장을 경유하여 다시 잔디광장으로 돌아오는 3.5km 코스이며, 국제시민스포츠연맹(IVV)에서 ""아름답고 걷기 좋은 길""로 인증 받은 길이다. 강동그린웨이 걷기대회는 3~11월 네번째 토요일 07:40에 개최한다고 한다. 일자산 기슭 2만 5,500㎡에는 “감촉의 정원/향기의 정원/차의 정원/맛의 정원”으로 분류된 허브원과 자생원, 약초원, 암석원, 온실, 관천대(觀天臺), 전망데크, 놀이터, 산책로 등이 조성되어 있으며, 2008년 개원한 일자산자연공원과도 연결되어 있다.",1시간 30분,"제1체육관, 가족캠핑장","일자산 잔디광장 옆 일자산 제1체육관 내, 강동그린웨이 가족캠핑장",강동그린웨이 가족캠핑장,경기 하남시 감북동,37.5306845,127.1536069
