WLK_COURS_FLAG_NM,WLK_COURS_NM,COURS_DC,SIGNGU_NM,COURS_LEVEL_NM,COURS_LT_CN,COURS_DETAIL_LT_CN,ADIT_DC,COURS_TIME_CN,OPTN_DC,TOILET_DC,CVNTL_NM,LNM_ADDR,COURS_SPOT_LA,COURS_SPOT_LO
북한산둘레길,11코스 효자길,효자동 공설묘지 ~ (0.5km)와글와글식당 ~ (1.0km)밤골입구 ~(0.5km)사기막골삼거리 ~ (1.3km)사기막골 입구,서울 강북구,보통,1~5Km미만,3.3,북한산 둘레길 11코스 효자길. 북한산 인수봉에서 발원해 한강으로 흐르는 창릉천이 두른 효자길은 효자 박태성과 인왕산 호랑이에 대한 전설을 간직하고 있는 곳입니다. 효자길을 걷다보면 우리의 민속 문화를 엿볼 수 있는 몇몇의 굿당이 눈에 들어올 것입니다. '사기막골' 이라는 마을이 있는데 이는 예부터 이곳에서 사기그릇을 만들었다 하여 붙여진 지명이라고 합니다.,1시간 30분,식수보급처가 없으므로 중간중간 마을길 통과시 매점에서 구입하거나 사전준비,사기막골 공원지킴터에 모바일화장실 위치,와글와글식당,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,12코스 충의길,사기막골 입구 ~ (0.4km)사기막 전망대 ~ (2.8km)솔고개 ~ (0.5km)교현우이령입구,서울 강북구,보통,1~5Km미만,3.7,북한산 둘레길 12코스 충의길. 사기막계곡에서 솔고개로 이어지는 숲 속 길입니다. 특히 상장봉 왼쪽 사면을 가로지르는 숲 속 길은 새롭게 조성된 산책로로 인적이 드물고 산세가 아름답습니다. 충의길 시작점인 사기막계곡을 출발해 새로 놓인 다리를 건나 십분여 산길을 오르면 사기막전망대에 도착합니다. 목재 데크 안에 의자를 놓아 쉼터를 겸하도록 설치된 이 전망대에서는 북한산의 주봉인 인수봉과 백운대가 한 눈에 들어옵니다. 또한 이곳은 둘레길은 물론 북한산 숨은벽 능선을 조망할 수 있는 전망대로 경치가 매우 좋은 코스입니다.,1시간 45분,식수보급처가 없으므로 중간중간 마을길 통과시 매점에서 구입하거나 사전준비,사기막공원지킴터에 모바일화장실 위치,사기막골 입구 길건너편에 매점 위치,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,13코스 송추마을길,교현우이령입구 ~ 원각사입구(5.3km),서울 강북구,보통,5~10Km미만,5.3,북한산 둘레길 13코스 송추 마을길. 수도권 휴양지로 널리 알려진 청정한 송추계곡(2.5km)을 만날수 있는 송추마을길은 군시절의 추억과 시골의 정취를 동시에 느낄수 있는 추억의 마을길입니다. 물장구치고 고기잡던 유년시절의 향수를 간직하고 있는 송추계곡과 짧은 계곡임에도 비온 후에는 제법 깊은 산속 폭포같은 모습으로 다가오는 원각사계곡의 시원한 물소리는 도심에서는 느껴보지 못한 자연의 작은 선물입니다.,2시간 40분,식수 보급처가 없으므로 인근마을 매점에서 구매 또는 사전준비,"오봉탐방지원센터 옆, 송추주차장내(2개소)",송추계곡(송추이주단지입구) 교량입구,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,14코스 산너미길,원각사입구 ~ 안골계곡(2.3km),서울 강북구,매우어려움,1~5Km미만,2.3,"북한산 둘레길 14코스 산너미길. 사패산의 깊은 속내를 살펴볼 수 있는 산너미길은 산을 넘는다는 의미로 사패산 6부능선에 있는 붉은 바위까지 올라야하는, 둘레길 중 가장 힘든 구간이지만 전망은 으뜸입니다. 전망대인 거북바위터에서 내려다보면 의정부 시가지와 멀리 양주시청도 한눈에 들어오고 오른쪽으로는 수락산이, 정면에는 천보산이 파노라마처럼 펼쳐집니다. 또한 안골계곡을 끼고 탐방하는 구간으로 계곡을 넘는 곳곳에는 사패교, 갓바위교, 울띄교 등 나무다리가 조성되어 있어 산길의 운치를 더해줍니다.",1시간 10분,식수 보급처가 없으므로 인근마을 매점에서 구매 또는 사전준비,원각사입구(1개소),마을길구간에서 인근매점 활용,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,15코스 안골길,안골계곡 ~ 회룡탐방지원센터(4.7km),서울 강북구,보통,1~5Km미만,4.7,"북한산 둘레길 15코스 안골길. 이 구간은 의정부시가 조성한 직동공원과 연결된 길로 배드민턴장, 축구장, 인공암벽과 같은 체육시설은 물론 분수대 야생화단지, 조각공원까지 한 자리에서 즐길 수 있는 가족형 산책코스입니다. 그 뿐만 아니라 안골계곡을 포함해 사패산으로 오르는 등산로가 곳곳에 이어져 있어 본격 등산을 위한 준비코스로 좋습니다. 회룡탐방지원센터에서 가까운 회룡사는 태조 이성계와 무학대사에 얽힌 전설이 전해지는 의정부시 대표 사찰로 문화재적 가치가 높은 회룡사 오층석탑, 회룡사석조, 신중도가 있습니다.",2시간 20분,회룡샘,"안골계곡 입구, 회룡탐방지원센터(2개소)",회룡탐방지원센터 입구,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,16코스 보루길,회룡탐방지원센터 ~ 원도봉입구(2.9km),서울 강북구,어려움,1~5Km미만,2.9,북한산 둘레길 16코스 보루길. 고구려시대의 석축과 보루가 있어서 보루길 이라고 합니다. 회룡탐방지원센터를 지나 다락원방향으로 가파르게 오르다보면 사패산 3보루터를 만날수 있습니다. 중랑천을 따라 남북을 잇는 고대 교통로를 통제하던 보루답게 보루터에서는 의정부시 호원동일대가 한눈에 내려다 보입니다. 이 길은 조금 가파르게 오르내리기 때문에 난이도가 높지만 걷고 나면 상쾌한 기분을 느낄수 있는 구간이기도 합니다.,1시간 30분,식수 보급처가 없으므로 인근마을 매점에서 구매 또는 사전준비,원심사 앞(1개소),원도봉산 입구,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,17코스 다락원길,원도봉입구 ~ 다락원(3.1km),서울 강북구,보통,1~5Km미만,3.1,"북한산 둘레길 17코스 다락원길. 다락원이란 명칭은 조선시대에 공무로 출장하던 사람들이 묵던 원이 있었고, 그 원집에 다락 증 누각이 있어서 붙여진 이름입니다. 한때는 상인들이 물건을 사고 팔았던 시장이 성했던 곳이지만 지금은 명칭으로만 전해집니다. 원도봉 입구에서 다락원까지 구간의 대부분이 공원 외 지역에 걸친 구간으로 서울과 경기도의 경계를 지나는 구간이기도 합니다. 마을길을 통과하여 다락원으로 접어들면 잭슨캠프 뒤편으로 무성한 큰키나무들과 아기자기한 텃밭, YMCA다락원캠프장 등을 지나며 조용한 시골길의 분위기를 느낄수 있습니다.",1시간 30분,식수 보급처가 없으므로 인근마을 매점에서 구매 또는 사전준비,대부분 마을길구간으로 주변 상가 화장실 이용,원도봉입구,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,18코스 도봉옛길,다락원 ~ 무수골(3.1km),서울 강북구,쉬움,1~5Km미만,3.1,"북한산 둘레길 18코스 도봉 옛길. 도봉산 주탐방로와 만나는 도봉옛길은 조상의 정취를 간직한 볼거리가 가득한 구간입니다. 도봉산에서도 이름난 사찰인 도봉사, 광륜사, 능원사를 지나는가하면 도봉계곡 옆에 있는 우암 송시열의 도봉동문이란 바위글씨가 명산의 입구임을 알려줍니다. 세종이 재위 당시 찾았다가 물 좋고 풍광이 좋아 아무런 근심이 없는 곳이라하여 그 이름이 유래된 무수골에는 세종의 아홉째 아들인 형해군의 묘를 비롯해 단아한 모양새를 한 왕족묘가 있습니다. 산정약수터입구에서 시작하는 220m의 무장애탐방로는 휠체어통행이 가능하며, 탐방로 끝 전망데크에 서면 선인봉과 도봉 절경이 한 눔에 들어옵니다.",1시간 30분,산정약수,"산정약수 밑, 도봉소공원(2개소)",광륜사,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,19코스 방학동길,무수골 ~ 정의공주묘(1.6km),서울 강북구,보통,1~5Km미만,3.1,북한산 둘레길 19코스 방학동길. 방학동이라는 이름은 곡식을 찧는 기구인 방아가 있는 곳이라는 뜻을 가진 우리말 방아골에서 유래했습니다. 한자로 기록하는 과정에서 음이 비슷한 방학리로 고쳐지면서 지금의 방학동이 되었습니다. 전국간이 숲길로만 이어진 방학동길에서는 이마에 맺힌 땀방울을 한 모금 약수로 식히고 갈 수 있는 바가지 약수터와 도봉산둘레길의 명소이자 유일한 전망대인 쌍둥이 전망대를 만나실 수 있습니다. 방학능선을 천천히 걸을 때 나무 사이로 언뜻언뜻 모습을 드러내는 도봉산 주봉도 풍치를 자아냅니다.,1시간 30분,바가지약수터,산행중에는 공중화장실이 없으므로 무수골 입구 화장실 활용,정의공주묘 입구,서울 은평구 불광동,37.6261212,126.9362684
염리동 소금길,A+B코스,A구간 : 가로등 따라 1-3-4-8-13-17-62-68 (1.1km 25분 소요) B구간 : 가로등 따라 59-55-46-38-32-29-19 (0.6km 15분 소요),서울 마포구,매우쉬움,1~5Km미만,1.7,"서울시의 범죄예방 디자인 프로젝트 일환으로 염리동 골목길을 주민들의 편의와 안전, 건강을 겸비한 걷는 길 ‘염리동 소금길이 만들어졌다. 골목길마다 노란색, 파란색으로 이루어진 대문, 코스를 알려주는 전봇대, 범죄예방을 위한 소금지킴이집과 비상벨 등 주민들의 아이디어와 자원으로 이루어진 아름다운 길이다. 운동코스는 실제 운동 트레이너들이 맞춤형코스로 만들어져 있어 운동효과도 볼 수 있다. 최근 수원시에서도 이 사업을 벤치마킹을 실시할 정도로 완성도 높은 코스이다.",40분,본인이 구비,"소금나루 무더위쉼터, 이대역",골목에 슈퍼마켓 즐비함.,서울 마포구 염리동 9-245,37.5553554,126.9470349
북한산둘레길,02코스 순례길(무장애 탐방구간),수유분소~(0.2km)섶다리~(0.5km)쉼터~(0.6km)백련사 입구,서울 강북구,매우쉬움,1Km미만,0.6,"북한산 둘레길 02코스 순례길(무장애탐방구간) . 북한산 둘레길 제2구간인 순례길은 독립유공자 묘역이 조성되어 있는 구간으로 우리 조상의 불굴의 독립정신을 느낄 수 있는 구간입니다. 헤이그밀사인 이준열사와 초대부통령이신 이시영선생의 묘소, 조국을 위해 꽃다운 청춘을 바친 17위의 광복군합동묘소 등 모두 12기의 독립유공자 묘역이 조성되어 있으며, 민주주의를 위해 희생하신 분들이 잠들어 계신 4.19민주묘지가 있는 곳이기도 합니다. 순례길의 무장애 탐방구간은 비교적 평탄한 구간으로 조성되어 있으나 보호자 동행이 반드시 필요한 구간으로 조상의 지혜가 담긴 자연친화적 다리인 섶다리와 계곡쉼터가 있어 역사와 자연이 어우러진 구간입니다.",편도 20분,,수유분소 화장실,,서울 은평구 불광동,37.6261212,126.9362684
관악산공원 무장애 숲길,무장애 탐방구간,관악산제2광장 화장실- 책읽는 쉼터(진입광장)- 잣나무쉼터-(순환형 숲길[1구간]/순환형 숲길[2구간])- 도토리쉼터/- 바위쉼터-등반형 숲길-전망쉼터,서울 관악구,매우쉬움,1~5Km미만,1.3,"2013년 5월 관악산에 처음으로 조성된 무장애 숲길은 전구간 경사도 8% 미만(장애인 시설 설치기준)으로 휠체어 및 유모차도 편하게 오를 수 있게 조성하였다. 지형에 따라 산책하듯 숲을 즐길 수 있도록 조성된 순환형 숲길(750m)과 지그재그형 오르막길을 따라 산을 오르며 전망할 수 있는 등반형 숲길(550m)을 구분하였으며, 등반형 숲길을 따라 관악산 열녀암 까지 오를 수 있다. 정상에서는 서울대학교 교정을 비롯 남산타워, 63빌딩 등 서울시내 전경을 바라볼 수 있다.",40분,관악산 제1광장 음수대 및 돌산물레방아 옆 음수대,"관악산 광장, 돌산화장실, 나들이숲 화장실, 제2광장 화장실",제1광장 들어서는 길목에 각종 군것질거리 판매,서울 관악구 신림동,37.4548218,126.9484305
북한산둘레길,20코스 왕실묘역길,정의공주묘 ~ 우이령길입구(1.6km),서울 도봉구,쉬움,1~5Km미만,1.6,"북한산 둘레길 20코스 왕실묘역길. 성종의 맏아들로 중종반정 때 폐왕된 연산군의 묘와 세종대왕의 둘째딸로 훈민정음 창제에 크게 기여한 정의공주의 묘가 있어 왕실묘역길이라 이름 지어졌습니다. 귀중한 역사자료인 왕실묘역뿐 아니라 600년 전부터 주민들의 식수로 이용되어 온 원당샘과 서울시에서 가장 오래된 나무로 수령 830년에 달하는 방학동 은행나무, 연산군묘재실 등이 있는 왕실묘역길은 짧은 구간이지만 우리의 삶과 이야기를 알차게 담은 역사문화길이다.",45분,원당샘,산행중에는 공중화장실이 없으므로 마을길 통과시 상가 화장실 활용,정의공주묘 입구,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,21코스 우이령길,우이우이령길입구 ~ (1.8km)우이탐방지원센터 ~ (1.6km)오봉전망대~ (3.4km)교현탐방지원센터,서울 강북구,쉬움,5~10Km미만,6.8,"북한산 둘레길 21코스 우이령길. 우이령에 붙은 '령'은 이 마을에서 저 마을로 넘어갈 때 산능성을 가로지르는 고갯길 중에서 격이 높은 고갯길에 붙는 이름입니다. 미시령, 한계령, 대관령 같이 백두대간에서나 볼 수 있는 이름입니다. 경기도 양주와 서울을 이어주는 가장 ?은 길인 우이령은 숱한 역사가 지나간 길입니다. 병자호란때는 청나라가 공물을 壺耭튼〈?길이었고, 불교를 배척했던 조선시데에는 도성의 사대문을 드나들 수 없었던 승려들이 몰래 지나가던 길이었습니다. ' 청와대 무장공비 침투사건(일명 김신조사건)' 이후로 41년동안 사람들의 출입을 막았던 우이령은 오랜시간 생태계가 자연 그대로 보전되면서 '서울의 비무장지대'로 불리게 되었습니다. 2009년 시민에게 개방하면서 현재는 명품 생태 탐방로로 다시 태어났습니다.",2시간,식수보급처가 없으므로 중간중간 마을길 통과시 매점에서 구입하거나 사전준비,우이우이령길입구 모바일화장실 위치,우이동 차고지종점 부근에 편의점(미니스탑) 위치,서울 은평구 불광동,37.6261212,126.9362684
남산순환나들길,남산순환나들길(쉽게 걷는 길),남산케이블카 입구(공원입구 안내센터)~와룡묘~남산골한옥마을 입구~필동약수터~국립극장,서울 중구,보통,1~5Km미만,3.4,"600년 전 서울 한양도성을 처음 지을 때 남쪽을 담당하는 남 주작인 남산은 예나 지금이나 서울의 대표하는 관광명소로 국내외 관광객이 많이 찾고 있다. 서울 시민도 한 번쯤은 남산에 가보았을 것이다. 그런데 남산 자락에 있는 북측순환로를 가본 사람은 그리 많지 않다. 이 길은 본래 차도였지만 남산의 공원화가 진행되면서 보행로로 변하게 되었다. 국립극장에서 남산케이블카입구까지 연결되는 북측순환로는 계절에 상관없이 산책하기 좋은 구간으로 경사가 완만해 장애인 및 노약자, 어린이, 임산부 등 사회적 약자도 편하게 이용할 수 있다. 특히, 점자유도불록과 점자안내도를 설치해 시각장애인을 배려한 흔적을 곳곳에서 찾아볼 수 있다.",1시간,필동약수터,"국립극장, 필동약수터, 묘멱산방",사전에 준비해야 한다.,서울 중구 예장동,37.55434,126.9939838
인왕산 자락길,인왕산 자락길,사직단 입구 ~ 단군성전 ~ 황학정 ~ 택견 수련터 ~ 족구장 ~ 수성동계곡 ~ 윤동주 시인의 언덕 ~ 윤동주 문학관,서울 종로구,보통,1~5Km미만,3.2,"인왕산 기슭에 새로운 길이 생겼다. 아니 새로운 길은 아니다. 원래 있던 길이었으니 길을 새로 낸 것은 아니다. 동네 사람이나 알음알음 아는 사람만 다니던 길을 이어서 새로운 길을 만들었다. 흩어져 있던 구슬을 꿰어 보배로 만든 것이다. 내를 건너서 숲으로, 고개를 넘어서 마을로 가는 길. 그 길은... 인왕산 자락길이다. 인왕산 자락길은 종묘와 더불어 나라를 지탱하는 기둥이었던 사직단에서 시작한다. 경희궁에서 옮겨 온 황학정 활터와 택견 수련장을 지나 겸재 정선의 그림으로 유명한 수성동 계곡으로 간다. 오르고 내리고 감아 돌아가고 지루할 틈이 없는 숲길이 계속 이어진다. 윤동주 시인이 자기 이름을 써 보고 흙으로 덮었을지도 모를 시인의 언덕 아래에는 소박한 윤동주 문학관이 있다.",1시간 30분,없음,"사직단, 족구장 간이화장실, 청운공원 운동시설 앞, 윤동주 문학관","사직공원 주변, 세종마을 일대, 윤동주문학관",서울 종로구 옥인동,37.5825858,126.9625124
노원산내들길,노원산내들길,경춘선공원 ~ 중랑천 ~ 숲속도서관 ~ 수락산디자인거리 ~ 불암산·수락산둘레길,서울 노원구,보통,10~15Km미만,26.5,"노원산내들길은 가족끼리,연인끼리 손잡고 천천히 산책하며 사색을 즐기고 시민 누구나 여유를 갖고 안전하고 편안하게 이용할 수 있도록 노원의 공원,생태,하천,녹지를 연결하는도보길로 가까운 거리에서 지하철이나 버스노선을 고려하여 접근하기 쉽도록 하였으며 노원을 한바퀴 돌아보는 코스입니다.",총 10시간,노원구 외곽을 도는 도보길로 물을 준비하는 것이 좋다,불암산·수락산둘레길 구간은 화장실이 많지 않아 지하철역을 이용하는 것이 좋다,"노원구 외곽을 따라 걷는 길로 불암산·수락산둘레길 주변,중랑천주변은 먹거리와 물을 준비하는 것이 좋다",서울 노원구 공릉동,37.6206918,127.078706
송파소리길,일주코스,석촌호수길~한성백제박물관~몽촌토성~양재천 산책로,서울 송파구,보통,20~100Km미만,30.21,"석촌호수를 출발하여 송파구를 흐르는 한강~탄천 등 송파구를 걷는 장거리 코스이다. 송파소리길을 안내하는 홈페이지가 있고, 매년 걷기 행사 등이 열려 주민들의 많은 참여가 이루어지는 코스이다. ※ 홈페이지 : http://sorigil.songpa.go.kr",10시간,"잠실한강공원, 석촌호수, 올림픽공원","석촌호수, 올림픽공원 곳곳, 올림픽공원역, 성내천, 잠실한강공원",코스 중간 마다 분포,서울 송파구 장지동,37.4759619,127.1253897
관악산둘레길,서울구간,까치산생태육교 ~ 낙성대공원 ~ 관악구청~ 관악산공원 ~ 돌산 ~ 삼성산성지 ~ 난우공원 ~ 신림근린공원 또는 (삼성산성지 ~ 호압사 ~ 석수역),서울 관악구,보통,15~20Km미만,15.0,"관악산을 둘러싸고 있는 높낮이가 심하지 않은 평탄한 숲길을 걸으며 자연과 문화, 역사를 즐길 수 있는 길로써 강감찬장군의 애국사상을 고취 할 수 있고 자연학습 체험활동이 가능하다. 또한 느림과 사색의 조화를 느낄 수 있는 코스이다.",5시간,중간 중간에 약수터 이용,"낙성대공원, 관악산공원 내 여러 곳에 분포","낙성대공원, 서울대정문 옆 등",서울 관악구 신림동 산 78-1,37.4711649,126.925688
안산자락길,안산 자락길,한성과학고~안산천약수터~무악정~연흥약수터 부근~시범아파트철거지~한성과학고,서울 서대문구,쉬움,5~10Km미만,7.0,"안산자락길은 독립공원, 서대문구청, 연희숲속쉼터, 한성과학고, 금화터널 상부, 봉원사, 연세대학교 등에서 쉽게 숲길로 들어갈 수 있어 접근성이 뛰어나다. 접근경로 다양한 만큼 출발지에 따라 느낌도 확연히 다르다. 옛 서울의 서쪽 관문인 독립문사거리 옆 독립공원, 독립공원엔 일제강점기 아픈 역사의 흔적을 고스란히 재현해 놓은 서대문 형무소가 있고, 그 뒤로는 안산의 한적한 숲길을 따라 자락길이 조성되었다. 2013년 11월에 개통된 안산 자락길은 총연장 7km로, 계속 거닐다 보면 다시 출발한 곳으로 돌아오고 보행약자도 안산에서 산림욕을 즐기며 편하게 산책할 수 있도록 ‘순환형 무장애 숲길’로 만들어진 것이 특징이다. 무장애 숲길 중 오르내리는 ‘편도형’이 아닌 ‘순환형’으로 완공된 숲길은 전국에서 처음이다. 안산 무장애 자락길에서는 메타세쿼이아, 아까시나무, 잣나무, 가문비나무 등으로 이뤄진 숲을 즐길 수 있으며 흔들바위, 너와집쉼터, 북카페, 숲속무대 등 다양한 볼거리와 즐길거리도 만날 수 있다. 또한 인왕산, 북한산, 청와대가 한눈에 들어오는 장관을 편리하게 감상할 수 있도록 조성했다. 낮지만 웅장한 안산, 그 안산이 내어준 자락길의 한적한 숲길을 지나 독립공원으로 되돌아오는 여행은 발로만 느끼기에는 보고 생각할 일이 너무도 많다.",2시간,"무악정 인근 약수터, 등산로 중간마다 약수터 위치(자락길에서 약수터이정표 따라 이동)","독립공원, 자락길 중간마다 화장실이 위치","독립공원, 서대문구청, 연희숲속쉼터, 연세대학교 입구",서울 서대문구 봉원동,37.5744807,126.9448706
서울 천주교순례길,01코스 말씀의 길,명동성당~김범우의 집터~한국천주교발상지(이벽의 집터)~좌포도청터~종로성당~낙산성곽~가톨릭대 성심교정 성당~석정보름우물~가회동성당,서울 종로구,보통,5~10Km미만,9.8,"성지순례길을 걸으며 성지와 유적지를 경건한 마음으로 방문해보자. 순례자에게는 를 봉헌하는 전대사가 주어지고 여행객에게는 천주교의 문화유적과 역사를 이해하는데 큰 도움을 준다. 또한, 서울의 문화유적지도 두루걸쳐 볼 수 있는 코스로 지금까지 우리가 알던 서울이 얼마나 많은 문화와 유적이 있는 곳인지를 새삼 느껴지게 만드는 코스이다. 순례길의 시작은 명동성당이다. 명동성당이 자리하고 있는 명동 일대는 옛날 조선 ‘한성부 남부 명례동(明禮洞)’에 속하던 지역으로 지금은 주위 고층빌딩 때문에 잘 보이지 않지만 ‘북달재’라고 불리던 곳이다. 남산 북녘 언덕 위에 세워진 명동성당은 도성 내 어느 곳에서나 올려다 보이던, 뾰족탑이 인상적인 서양식 교회 건물로 세인의 이목을 끌었다. 이어 만나는 김범우의 집터를 만나게 되는데 이곳은 명례방으로 남산 아래의 여러 마을들과 지금의 을지로 입구에서 명동 성당 부근까지를 포함하고 있던 곳이다. 이벽의 집 터를 알리는 곳은 평신도에 의한 자발적인 최초의 신앙 공동체 탄생한 곳으로 한국천주교의 발상지이다. 사실 이벽의 집은 표지석 정면 청계천 상가부근으로 표지석세울 장소가 마땅치 않아 그 근처 인도에 기념표석을 건립한 것이다. 천주교와 가장 밀접한 관청을 논한다면 포도청이다. 포도청은 원래 도적을 잡기 위한 목적으로 설치?운영되었다. 그러나 점차 그 담당 업무가 확대되어 한성부민들의 생활 전반에 걸쳐 금지 조항을 위반하는 사건들을 다루면서 천주교 박해시기 수 많은 신자들이 순교한 곳이다. 종로성당을 지나 낙산성곽을 따라 걷게 되는데 낙산성곽은 내사산 중 가장 낮은 낙산을 따라 만들어진 서울한양도성의 구간으로 나눠 말할 때 쓰는 곳으로 완만한 구릉를 따라 걷게 되어 평소에도 많은 사람이 찾는 곳이다. 이곳에서 바라보는 남산의 풍광은 서울을 대표하는 풍경으로 주택가와 서울의 도심의 어울림이 멋스러운 곳이다. 성곽길에서 카톨릭대로 들어가면 성심교정 성당을 만날 수 있는데 이곳은 최초의 한국인 사제 김대건 신부의 유해가 모셔진 장소이며 한국 교회 사제 성소의 요람이다. 조선을 대표하는 궁궐 중 하나인 창덕궁을 지나 한옥의 가옥들이 가득하고 전통의 숨결을 고스란히 느낄 수 있는 북촌에 이르면 한옥와 양옥이 조화를 이룬 가희동성당을 만나게 된다.",3시간,,"명동성당, 좌포도청터, 종로성당, 카톨릭대학교, 가희동성당",도심 곳곳에 마트와 편의점 분포,서울 종로구 동숭동,37.5793623,127.0080424
달마을근린공원 산책길,달마을근린공원 산책길,목동문화체육센터 - 달마을근린공원입구 - 생태연못데크 - 산책길입구 - 야생초화원 - 달맞이언덕 - 아카시나무숲길 - 전망테크 - 목동2단지후문 - 공원숲속길 - 보호식물초화원 - 건영아파트앞버스정류장 - 파리공원앞 - 법안정사앞출입구 - 산책로입구 - 벽천 - 분수대뒤 - 2단지앞출입구 - 숲길 - 개선문뒷길 - 도서관앞출입구 - 파리광장 - 관리소 - 분수대 - 농구장 - 개선문 - 한불마당 - 파리공원 - 현대드림타워출입구,서울 양천구,보통,1~5Km미만,0.5,"달마을근린공원은 양천구가 2009년 7월 생태공원으로 재조성한 곳이다. 순환산책로 730m를 만들고 진입광장과 출입구 5곳을 새로 꾸몄으며 정자 1곳과 공원 전체조망이 가능한 전망데크, 야외 체육시설도 설치했다. 또 아카시나무가 주를 이뤘던 산에 팥배나무 등 30종 3만 1000주의 나무를 심었으며, 물억새 등 초화류 및 수생식물 30종 12만 2500여본을 심어 생태적으로 건강한 주민휴식처로 변모했다.",2시간,목동문화체육센터,목동문화체육센터,없음,서울 양천구 목동,37.5361715,126.8720249
동네 골목길 관광 코스,01코스 정신문화 여행길(청운효자동),보안여관~(460m)창성동 한옥마을~(207m)쌍홍문 터~(199m)해공 신익희 가옥-제한개방~(44m)청와대사랑채~(119m)무궁화동산~(186m)창의문로~(720m)청원공원~(633m)송강 정철 집터 및 시비~(833m)선희궁 터~(500m)국립서울 농·맹학교 담장벽화~(383m)우당기념관~(24m)박노수가옥-비개방~(490m)이상범 가옥 및 화실~(340m)경복궁역(580m),서울 종로구,보통,5~10Km미만,5.7,"정신문화여행길_청풍계 백운동 노래와 충효이야기 - 멋과 여유는 충효의 뿌리 : 쌍홍문터, 우당 기념관 - 500년 선비들의 '삶과 사상', 청운효자동의 길을 열다: 백세청풍바위 - 세상에서 가장 아름다운 말 '수화' 그리고 만지는 글, 아름다운 기억'점자'세계",1~2시간,무궁화동산,"경복궁역, 청운효자동주민센터, 무궁화동산, 청운공원, 윤동주문학관","슈퍼, 편의점 있음",서울 종로구 세종로 77-9,37.5758462,126.9756294
동네 골목길 관광 코스,04코스 생태·문화 탐방길(부암동),홍지문 및 탕춘대성~(325m)석파정 별당~(89m)석파정~(915m)안평대군 이용집터~(380m)현진건 집터~(290)반계 윤웅렬 별장~(479m)'찬란한 유산'촬영지~(200m)윤동주시인의 언덕-청운공원~(256m)최규식 경무관 동상~(85m)창의문~(200m)환기미술관~(725m)'커피프린스 1호점'촬영지~(690m)백사실계곡-백석동천~(998m)∽세검정,서울 종로구,보통,5~10Km미만,6.72,"북한산과 인왕산 자락에 위치한 부암동은 세검정 쪽 길가에 높이 2m의 부침바위가 있었던데서 동명이 유래되었다. 세련된 도시적인 분위기와 과거의 모습이 고스란히 남아있는 곳이며, 최근 드라마 영화 촬영 명소로 알려지면서 골목길 곳곳에 개성 넘치는 카페와 가게가 줄지어 들어서고 있으며, 삼청동, 신사동 가로수길과 더불어 감각적인 공간으로 주목받는 곳이 되었다.",2시간,매점에서 구입하거나 각자 준비해야 됨,"창의문, 부암동주민센터",출발지 및 각 경유지 부근,서울 종로구 세종로 77-9,37.5758462,126.9756294
동네 골목길 관광 코스,16코스 세종마을,① 대림미술관 → ② 통의동 백송 터 → ③ 창의궁 터 → ④ 창성동 한옥마을 → ③ 쌍홍문 터 및 해공 신익희 가옥 → ④ 자수궁터 → ⑤ 쌍홍문 터 → ⑥ 해공 신익희 가옥(제한개방) → ⑦ 선희궁 터 → ⑧ 국립 서울 농 맹학교 담장벽화 → ⑨ 자수궁 터 → ⑩ 박노수 가옥(비개방) → ⑪ 기린교 → ⑫ 이상범 가옥 및 화실 → ⑬ 세종대왕 나신 곳 → 자하문로,서울 종로구,보통,1~5Km미만,4.0,"- 평범한 사람들의 오래된 삶의 터전 663동의 한옥마을 탐방 - 오밀조밀 군데군데 미로처럼 숨어 있는 골목길을 찾아서 - 근대 예술가들의 숨결 느끼기 : 현대 동양화단의 거목 남정 박노수의 집, 한국화가 이상범이 명작을 쏟아낸 화실 등",1시간30분,,"종로3가역, 안국역, 윤동주문학관",상점이 많음,서울 종로구 세종로 77-9,37.5758462,126.9756294
